Weather_Condition,Nearby_Vessel,Vessel_Distance_NM,Vessel_Speed_Knots,Radar_Object_Detected,Radar_Distance_NM,Ship_Speed_Knots,Risk_Level
Storm,Yes,2.41,6.71,Yes,2.26,15.71,Critical
Storm,Yes,11.38,7.19,No,1.31,12.88,High
Rain,Yes,10.27,16.42,Yes,4.64,21.96,Moderate
Storm,No,8.19,24.21,No,6.75,14.86,High
Clear,Yes,5.82,15.09,Yes,4.66,14.44,Moderate
Clear,No,5.24,1.92,No,3.13,14.81,Safe
Clear,No,7.99,1.89,Yes,5.8,21.94,Moderate
Clear,Yes,6.77,23.79,Yes,3.8,21.64,Moderate
Clear,Yes,1.22,7.43,No,9.36,13.07,Moderate
Clear,Yes,6.39,2.3,No,9.27,11.67,Moderate
Rain,Yes,9.77,14.98,Yes,5.27,14.84,Moderate
Clear,No,5.78,15.59,No,3.61,16.46,Safe
Clear,No,1.1,16.21,Yes,7.5,9.77,Safe
Clear,Yes,9.54,6.69,No,0.85,20.88,Safe
Clear,No,2.82,0.38,No,5.01,14.73,Safe
Rain,No,3.47,24.13,Yes,3.7,11.68,Moderate
Clear,No,2.39,6.27,No,9.25,7.14,Safe
Storm,No,4.3,16.9,Yes,0.61,9.78,Critical
Rain,No,9.2,17.67,No,5.75,23.99,Moderate
Clear,No,6.47,15.25,No,7.54,11.1,Safe
Clear,No,2.86,7.82,No,5.11,8.38,Safe
Rain,No,10.6,6.78,No,1.31,14.21,Moderate
Rain,Yes,10.62,14.94,No,9.74,11.14,Moderate
Rain,No,10.51,21.65,No,5.42,5.7,Moderate
Rain,No,3.25,23.67,No,6.33,11.46,Moderate
Clear,Yes,5.69,2.65,No,2.75,15.88,Moderate
Clear,No,11.83,3.87,Yes,5.09,16.03,Moderate
Clear,Yes,9.38,23.62,No,4.58,12.13,Safe
Storm,Yes,0.81,18.41,No,1.21,13.95,Critical
Rain,No,1.25,22.07,No,1.51,24.31,Moderate
Clear,No,5.84,5.07,No,8.46,12.55,Safe
Clear,Yes,10.96,14.69,Yes,2.78,10.16,High
Clear,Yes,6.7,17.53,No,2.35,9.87,Moderate
Clear,No,6.22,17.0,No,5.3,14.16,Safe
Rain,Yes,1.71,10.2,No,7.8,20.19,High
Rain,No,8.05,0.38,No,1.09,9.12,Moderate
Storm,Yes,9.95,14.57,Yes,5.98,19.19,High
Clear,No,4.87,6.33,No,1.63,5.42,Safe
Clear,Yes,9.42,11.26,Yes,0.85,13.38,High
Rain,Yes,11.59,23.94,No,1.0,20.52,Moderate
Rain,Yes,2.84,9.98,No,8.42,11.77,High
Rain,No,6.52,21.0,Yes,1.62,16.27,High
Rain,No,3.8,4.71,No,0.93,9.1,Moderate
Clear,No,9.62,16.81,No,4.66,19.84,Safe
Clear,No,7.14,24.43,No,8.52,6.05,Safe
Clear,No,7.8,2.55,No,2.99,22.05,Safe
Clear,Yes,9.68,0.21,No,4.51,8.96,Safe
Clear,No,5.05,10.84,No,0.88,22.49,Safe
Clear,No,11.02,2.32,No,4.77,12.05,Safe
Rain,Yes,6.63,18.71,No,5.99,19.45,Moderate
Clear,Yes,2.32,22.86,No,5.92,11.38,Moderate
Clear,Yes,8.5,10.85,No,3.66,23.12,Safe
Storm,Yes,9.62,6.47,No,3.5,7.53,High
Clear,No,4.14,10.86,No,1.51,8.57,Safe
Clear,No,10.36,18.09,Yes,3.98,14.86,Moderate
Rain,Yes,10.92,0.23,No,1.45,6.64,Moderate
Clear,Yes,3.68,14.74,Yes,7.78,8.92,Moderate
Clear,No,11.81,15.33,No,9.68,23.88,Safe
Clear,Yes,2.12,15.94,No,9.72,24.53,Moderate
Clear,No,2.82,6.05,No,8.72,12.53,Safe
Storm,No,2.62,17.85,No,6.21,23.47,High
Rain,No,10.78,2.28,No,7.16,15.9,Moderate
Rain,No,8.02,4.98,No,3.21,10.39,Moderate
Storm,No,2.25,21.94,No,6.49,19.05,High
Rain,No,5.56,18.47,Yes,4.83,18.18,Moderate
Clear,Yes,7.58,0.34,No,5.08,24.78,Moderate
Storm,No,1.46,6.21,No,7.7,10.3,High
Clear,No,10.65,5.36,Yes,3.18,18.44,Moderate
Rain,Yes,9.74,6.77,No,3.52,6.04,Moderate
Storm,Yes,6.31,6.19,No,9.28,7.27,High
Clear,Yes,11.62,1.56,No,1.03,5.08,Safe
Clear,Yes,5.3,11.47,Yes,5.11,24.99,Moderate
Clear,Yes,11.82,18.32,Yes,9.17,21.05,Safe
Clear,No,8.18,15.17,No,6.3,20.73,Safe
Rain,No,7.8,16.82,No,5.69,15.19,Moderate
Storm,No,2.41,2.03,Yes,2.87,11.0,Critical
Clear,No,10.64,23.79,No,3.76,8.03,Safe
Clear,No,5.42,20.96,No,8.59,10.69,Safe
Clear,Yes,2.37,20.13,No,5.81,12.52,Moderate
Clear,No,0.64,20.57,No,5.39,20.13,Safe
Clear,No,6.94,23.32,No,1.45,15.79,Safe
Clear,No,6.57,13.61,No,0.65,6.55,Safe
Storm,Yes,8.77,5.01,No,9.66,5.36,High
Clear,No,10.74,15.42,No,4.08,7.05,Safe
Clear,Yes,1.41,18.57,Yes,6.23,13.21,Moderate
Rain,No,8.91,18.45,No,1.26,23.66,Moderate
Clear,No,2.66,13.04,No,6.99,17.75,Safe
Storm,No,10.37,1.71,No,9.36,21.04,High
Storm,Yes,9.92,9.28,No,5.97,14.33,High
Clear,No,6.72,23.02,No,1.7,12.23,Safe
Clear,Yes,8.67,14.61,No,6.03,7.17,Safe
Clear,No,4.12,13.46,Yes,7.78,22.52,Safe
Clear,No,5.92,6.72,Yes,4.36,20.66,Moderate
Clear,Yes,9.95,9.21,No,8.86,8.36,Safe
Rain,Yes,5.78,22.38,No,6.66,15.25,Moderate
Clear,Yes,4.61,16.66,No,9.04,14.75,Moderate
Clear,Yes,6.18,19.68,Yes,6.42,17.5,Moderate
Clear,Yes,10.02,11.36,Yes,1.75,23.92,High
Storm,Yes,4.35,15.76,No,3.44,16.6,Critical
Clear,Yes,2.5,6.21,No,2.42,15.8,Moderate
Clear,Yes,8.69,17.64,Yes,9.13,6.01,Safe
Clear,Yes,10.0,10.69,No,7.72,6.26,Safe
Storm,Yes,1.66,11.06,No,6.93,8.75,Critical
Clear,Yes,3.26,16.23,No,3.36,5.65,Moderate
Rain,No,2.13,23.41,No,2.25,19.87,Moderate
Rain,Yes,4.5,1.6,Yes,7.69,19.47,High
Clear,Yes,5.68,20.62,Yes,5.0,7.72,Moderate
Rain,No,9.11,7.31,No,2.65,21.72,Moderate
Clear,Yes,7.99,11.1,No,6.36,8.1,Moderate
Rain,No,7.64,0.55,No,0.88,11.02,Moderate
Rain,No,4.55,7.53,No,3.6,9.98,Moderate
Clear,Yes,10.18,12.57,No,4.95,12.45,Safe
Clear,No,5.92,1.4,No,1.91,10.09,Safe
Rain,Yes,11.76,12.28,No,9.85,14.78,Moderate
Clear,Yes,7.79,23.18,No,2.49,13.15,Moderate
Clear,No,1.95,2.63,No,1.74,24.73,Safe
Clear,No,8.28,19.11,No,2.43,6.12,Safe
Rain,No,4.24,10.24,No,7.81,7.84,Moderate
Rain,Yes,8.39,16.38,No,4.54,6.06,Moderate
Clear,Yes,1.3,6.51,Yes,5.87,17.52,High
Clear,Yes,2.51,3.99,No,0.7,6.09,Moderate
Clear,No,10.34,4.01,No,0.83,21.73,Safe
Rain,Yes,3.11,1.76,Yes,4.74,15.24,High
Clear,No,10.13,4.64,Yes,8.26,15.54,Safe
Rain,Yes,3.71,16.61,No,8.91,16.23,High
Clear,No,7.89,22.04,Yes,1.32,8.42,High
Storm,Yes,8.48,20.35,No,5.61,8.95,High
Clear,No,6.4,17.13,No,9.18,11.38,Safe
Clear,Yes,4.01,2.76,No,4.19,16.87,Moderate
Clear,No,2.95,7.23,No,8.38,9.2,Safe
Storm,Yes,0.88,7.75,No,1.77,7.33,Critical
Storm,Yes,4.0,6.25,No,9.39,24.4,Critical
Clear,No,8.01,12.88,No,7.64,5.44,Safe
Rain,Yes,11.29,13.39,No,9.44,21.05,Moderate
Rain,Yes,10.52,8.92,No,6.93,20.76,Moderate
Rain,No,9.31,8.84,No,3.95,10.94,Moderate
Clear,No,9.57,20.71,No,9.41,7.71,Safe
Clear,Yes,8.15,19.73,Yes,3.12,7.91,Moderate
Clear,No,3.49,7.69,Yes,3.66,18.95,Moderate
Storm,No,10.93,22.84,Yes,7.16,17.86,High
Storm,No,8.21,23.82,No,7.77,20.65,High
Rain,Yes,6.95,8.17,Yes,9.33,23.75,Moderate
Clear,No,1.78,8.86,No,2.45,18.84,Safe
Clear,Yes,5.64,12.64,No,8.08,8.12,Moderate
Rain,Yes,5.79,23.53,No,7.52,9.87,Moderate
Storm,Yes,10.44,21.91,No,1.11,21.84,High
Storm,Yes,6.79,2.56,No,4.18,9.19,High
Rain,No,4.87,9.82,No,3.19,6.45,Moderate
Rain,Yes,11.73,13.83,Yes,3.39,19.07,Moderate
Clear,No,1.77,12.58,No,9.84,13.05,Safe
Clear,No,5.36,4.85,No,6.61,23.4,Safe
Storm,No,0.98,21.47,Yes,7.32,18.01,High
Rain,No,9.01,16.92,No,9.78,6.81,Moderate
Clear,Yes,11.06,20.95,No,4.08,23.96,Safe
Clear,Yes,3.72,21.47,No,8.12,10.17,Moderate
Rain,No,10.37,18.71,No,4.63,11.74,Moderate
Clear,No,3.86,10.98,No,8.76,13.05,Safe
Clear,Yes,10.97,15.26,No,2.22,6.02,Safe
Clear,No,9.17,4.01,No,9.5,14.93,Safe
Rain,No,9.76,16.84,No,2.58,7.47,Moderate
Rain,No,0.71,4.48,No,3.6,13.02,Moderate
Clear,Yes,11.57,17.35,No,7.68,12.01,Safe
Rain,Yes,8.86,5.74,No,4.24,20.46,Moderate
Clear,No,4.0,2.94,Yes,6.28,21.06,Safe
Clear,No,10.04,4.13,No,4.72,8.07,Safe
Rain,Yes,3.74,0.05,No,7.55,12.33,High
Rain,Yes,10.54,17.97,No,2.67,12.47,Moderate
Rain,No,1.79,18.31,No,1.06,8.03,Moderate
Rain,Yes,8.59,12.87,No,3.35,20.97,Moderate
Rain,No,6.72,4.03,No,5.01,19.14,Moderate
Clear,No,1.61,2.09,Yes,2.1,8.81,High
Clear,Yes,3.28,0.48,Yes,3.87,12.33,High
Clear,No,0.64,4.14,No,4.3,7.12,Safe
Clear,Yes,5.89,22.27,Yes,1.05,17.56,High
Storm,No,3.96,6.04,No,6.04,7.43,High
Clear,No,7.38,8.86,No,8.9,24.72,Safe
Storm,Yes,3.92,2.63,No,1.94,20.61,Critical
Rain,No,3.95,5.56,No,6.18,12.8,Moderate
Rain,Yes,9.05,12.98,Yes,6.82,16.57,Moderate
Clear,No,1.05,15.19,No,4.48,23.23,Safe
Rain,No,10.88,6.13,No,7.16,16.08,Moderate
Clear,No,10.3,1.44,Yes,4.4,8.49,Moderate
Clear,Yes,8.18,9.78,No,5.29,12.57,Safe
Rain,No,7.32,5.86,No,0.57,21.86,Moderate
Clear,Yes,10.76,5.49,No,7.07,17.88,Safe
Clear,No,2.63,24.0,Yes,6.78,18.01,Safe
Rain,Yes,1.41,15.41,Yes,0.86,22.34,Critical
Clear,No,3.25,13.92,No,4.0,22.88,Safe
Storm,Yes,9.64,10.39,No,9.8,23.4,High
Storm,Yes,0.9,10.72,No,4.5,6.9,Critical
Storm,Yes,7.2,13.52,Yes,5.27,15.88,Critical
Clear,Yes,11.95,17.41,No,9.14,19.81,Safe
Clear,Yes,10.34,17.55,No,7.31,20.14,Safe
Storm,Yes,6.5,4.29,Yes,6.03,17.13,High
Clear,No,1.23,12.5,No,8.08,8.34,Safe
Storm,No,10.06,10.3,No,8.71,20.95,High
Storm,Yes,7.39,21.76,No,4.84,19.4,High
Storm,Yes,1.82,15.79,Yes,5.01,6.72,Critical
Clear,Yes,1.58,13.31,No,4.17,14.28,Moderate
Clear,No,10.96,2.88,No,9.68,8.48,Safe
Storm,No,8.2,15.14,No,7.12,11.75,High
Clear,No,10.04,2.93,No,1.29,5.36,Safe
Clear,Yes,10.61,8.43,No,8.7,13.01,Safe
Rain,No,7.08,3.57,No,5.07,16.0,Moderate
Storm,No,6.45,17.3,Yes,1.15,17.39,Critical
Rain,No,5.45,5.16,No,5.72,18.27,Moderate
Rain,No,4.14,9.8,No,4.46,21.73,Moderate
Clear,No,5.5,22.39,No,8.84,9.31,Safe
Rain,No,9.4,5.11,No,2.44,7.41,Moderate
Storm,Yes,7.42,12.7,Yes,8.35,22.03,High
Clear,No,10.76,10.48,No,5.8,8.13,Safe
Clear,No,5.6,0.45,No,1.02,24.5,Safe
Storm,No,7.48,19.82,No,9.73,21.85,High
Rain,No,7.76,1.73,No,5.37,15.02,Moderate
Rain,No,7.3,11.86,No,3.26,24.63,Moderate
Rain,No,8.58,14.02,No,4.96,6.95,Moderate
Clear,Yes,3.23,15.71,Yes,8.65,11.06,Moderate
Clear,No,6.39,17.22,Yes,3.4,17.76,Moderate
Rain,Yes,1.7,6.33,No,2.33,12.0,High
Rain,Yes,4.92,0.25,Yes,1.73,23.57,Critical
Storm,Yes,6.11,18.09,No,3.33,6.31,High
Storm,No,8.0,13.39,No,7.91,15.99,High
Clear,No,11.43,20.9,No,4.98,16.82,Safe
Clear,No,7.41,20.53,No,2.66,18.05,Safe
Rain,No,9.05,21.08,No,2.08,10.11,Moderate
Rain,Yes,6.32,12.13,No,3.66,12.29,Moderate
Rain,No,7.79,8.34,No,9.43,21.87,Moderate
Rain,No,1.32,19.79,No,3.76,8.9,Moderate
Storm,Yes,3.43,11.28,No,9.89,21.54,Critical
Clear,Yes,4.66,4.59,Yes,5.11,16.25,High
Clear,No,5.93,21.37,No,2.2,20.24,Safe
Clear,No,1.02,22.06,No,8.97,19.27,Safe
Rain,No,2.11,11.66,No,4.87,9.15,Moderate
Clear,No,3.68,1.89,No,7.24,16.38,Safe
Clear,No,11.67,9.7,Yes,9.85,22.35,Safe
Clear,No,4.31,20.09,No,0.98,13.64,Safe
Clear,No,6.04,22.54,No,1.42,24.33,Safe
Rain,No,2.76,5.09,Yes,7.34,14.04,Moderate
Clear,No,7.52,1.67,No,3.18,7.86,Safe
Clear,No,3.73,21.93,No,2.25,12.79,Safe
Rain,No,2.88,9.74,No,0.87,24.03,Moderate
Clear,Yes,6.44,13.54,Yes,0.71,11.39,High
Clear,Yes,0.56,24.2,No,7.86,22.36,Moderate
Clear,No,0.59,1.66,No,1.78,22.63,Safe
Rain,No,3.02,16.21,No,4.94,12.0,Moderate
Clear,No,0.92,1.85,No,6.26,6.67,Safe
Rain,Yes,1.74,9.39,No,4.57,19.49,High
Clear,Yes,4.4,20.1,No,0.76,11.23,Moderate
Clear,No,9.73,10.84,No,7.94,20.66,Safe
Clear,Yes,7.08,24.93,Yes,0.6,13.85,High
Clear,No,6.4,13.98,Yes,7.74,14.71,Safe
Rain,No,3.88,8.03,No,8.99,20.56,Moderate
Rain,Yes,11.22,5.5,Yes,4.61,12.65,Moderate
Storm,Yes,5.07,8.76,No,5.59,13.86,High
Clear,Yes,1.5,9.31,No,5.03,12.52,Moderate
Clear,Yes,7.6,1.72,No,4.2,12.35,Moderate
Rain,No,1.81,9.24,Yes,8.93,15.52,Moderate
Clear,Yes,4.47,11.61,Yes,8.99,21.18,Moderate
Clear,No,6.34,18.07,No,3.69,12.24,Safe
Clear,Yes,10.55,16.42,Yes,6.34,15.49,Safe
Clear,No,6.18,17.72,No,9.31,18.41,Safe
Storm,Yes,8.58,0.21,Yes,9.64,10.39,High
Rain,No,11.92,5.44,Yes,5.34,10.55,Moderate
Rain,Yes,2.01,16.54,No,4.8,23.67,High
Clear,No,3.66,12.1,Yes,3.15,19.47,Moderate
Clear,Yes,5.04,0.13,No,9.61,16.54,Moderate
Clear,No,5.35,20.11,No,1.86,17.95,Safe
Clear,No,5.23,19.32,No,6.01,5.59,Safe
Clear,No,10.94,13.71,No,3.18,17.36,Safe
Rain,No,8.71,1.66,Yes,3.15,15.19,Moderate
Rain,Yes,7.49,19.16,No,4.35,15.91,Moderate
Clear,No,4.06,14.59,No,9.99,12.19,Safe
Storm,Yes,9.97,19.55,Yes,1.02,6.63,Critical
Rain,No,11.48,18.79,Yes,6.0,8.87,Moderate
Rain,No,9.94,20.08,No,1.28,24.01,Moderate
Rain,Yes,0.52,12.95,Yes,1.97,13.17,Critical
Clear,Yes,7.82,3.51,No,4.68,14.33,Moderate
Clear,No,1.09,16.78,Yes,5.35,6.05,Moderate
Clear,No,3.46,15.51,No,2.96,5.75,Safe
Rain,Yes,1.18,18.56,No,3.51,19.34,High
Clear,No,7.44,4.25,No,1.33,15.76,Safe
Clear,Yes,8.4,4.87,No,3.38,15.17,Safe
Clear,Yes,1.82,22.26,No,9.68,9.86,Moderate
Clear,Yes,4.91,18.75,No,9.47,19.9,Moderate
Storm,No,5.75,22.71,No,3.68,8.36,High
Rain,Yes,4.74,18.97,Yes,5.92,8.8,High
Clear,No,1.89,14.93,No,9.14,14.21,Safe
Clear,No,5.32,16.35,No,0.56,10.73,Safe
Clear,No,9.14,22.23,No,8.2,9.95,Safe
Clear,No,1.32,14.47,No,9.51,17.9,Safe
Clear,Yes,1.42,15.81,Yes,1.37,18.02,Critical
Clear,Yes,4.58,3.91,Yes,2.03,21.49,Critical
Clear,Yes,11.33,11.85,No,9.63,13.35,Safe
Rain,No,8.19,17.91,No,5.61,6.46,Moderate
Rain,No,8.3,6.77,Yes,0.63,10.47,High
Clear,No,4.66,5.06,No,2.95,24.6,Safe
Clear,Yes,7.33,7.85,Yes,4.77,16.93,Moderate
Rain,No,0.62,6.04,No,7.08,19.19,Moderate
Clear,Yes,7.82,5.37,Yes,7.47,5.15,Moderate
Storm,No,11.0,10.62,No,9.96,15.36,High
Rain,No,7.54,22.7,No,3.23,5.75,Moderate
Clear,Yes,10.55,12.68,Yes,5.61,16.38,Moderate
Clear,No,8.83,4.7,No,5.57,23.42,Safe
Rain,Yes,1.89,1.92,No,4.35,24.37,High
Clear,Yes,10.88,17.4,No,2.11,15.81,Safe
Rain,No,1.26,9.57,No,9.79,14.16,Moderate
Storm,No,6.64,20.55,No,8.61,23.9,High
Rain,No,2.13,16.49,No,5.23,18.47,Moderate
Clear,Yes,0.63,19.91,No,6.23,6.3,Moderate
Rain,No,5.35,6.8,No,2.66,14.31,Moderate
Clear,Yes,3.89,17.31,Yes,5.67,9.8,High
Clear,Yes,6.09,6.6,No,7.1,14.4,Moderate
Storm,Yes,7.14,23.48,No,5.39,14.11,High
Clear,No,1.0,15.91,No,9.91,16.64,Safe
Storm,Yes,1.91,8.11,No,6.31,12.14,Critical
Storm,Yes,6.92,6.74,No,4.02,8.29,High
Clear,No,4.45,4.77,No,7.84,15.07,Safe
Clear,No,8.89,17.37,No,2.12,21.6,Safe
Clear,Yes,8.0,5.47,No,4.15,18.28,Safe
Clear,No,10.22,14.88,No,3.8,11.77,Safe
Clear,Yes,8.46,6.62,No,4.6,23.71,Safe
Rain,No,5.44,16.55,No,7.93,23.24,Moderate
Clear,No,8.24,20.37,No,5.1,9.19,Safe
Clear,Yes,3.67,19.45,No,8.04,5.79,Moderate
Rain,No,4.02,19.02,No,5.98,19.83,Moderate
Clear,No,9.57,4.69,Yes,3.75,21.55,Moderate
Rain,No,5.63,2.21,No,8.19,24.36,Moderate
Clear,No,9.68,17.47,No,2.76,22.8,Safe
Clear,No,9.96,9.21,No,2.63,17.01,Safe
Rain,No,10.36,10.81,No,5.29,15.6,Moderate
Rain,Yes,11.04,0.78,No,2.98,5.56,Moderate
Storm,No,5.46,6.49,No,0.59,9.93,High
Rain,Yes,4.17,0.84,Yes,6.66,14.19,High
Rain,No,7.2,21.98,No,5.36,17.57,Moderate
Clear,Yes,4.77,6.08,Yes,4.73,16.15,High
Clear,No,7.41,13.93,No,9.69,19.85,Safe
Rain,Yes,8.61,0.97,No,5.93,10.6,Moderate
Rain,No,8.42,16.67,No,8.7,16.3,Moderate
Storm,No,4.81,8.08,No,1.82,6.76,High
Clear,No,2.42,22.45,No,5.91,13.27,Safe
Clear,No,5.45,22.2,No,8.75,20.0,Safe
Rain,No,2.14,8.13,No,6.04,18.87,Moderate
Clear,No,10.74,22.52,Yes,7.32,24.81,Safe
Storm,Yes,4.48,24.9,Yes,4.03,10.56,Critical
Storm,No,2.28,20.64,No,1.38,14.96,High
Clear,No,0.79,21.12,No,4.85,11.59,Safe
Rain,Yes,7.93,6.23,No,4.25,13.81,Moderate
Rain,Yes,7.82,14.42,No,8.74,22.14,Moderate
Clear,No,4.42,1.68,No,2.82,18.68,Safe
Storm,No,1.32,2.37,No,9.68,22.65,High
Clear,No,5.21,24.97,No,9.6,9.07,Safe
Rain,Yes,4.08,8.17,No,2.85,22.47,High
Clear,Yes,8.29,18.7,Yes,3.81,6.2,Moderate
Storm,No,7.47,20.17,No,9.01,22.77,High
Clear,Yes,4.69,21.45,Yes,9.68,11.58,Moderate
Clear,Yes,3.01,24.94,No,4.71,11.29,Moderate
Storm,No,11.86,6.04,No,3.55,15.24,High
Clear,Yes,5.72,1.01,No,5.5,23.81,Moderate
Clear,No,8.42,10.28,No,7.03,5.96,Safe
Storm,No,2.12,3.25,No,3.1,12.04,High
Storm,No,6.08,0.56,No,7.5,22.13,High
Rain,No,0.82,9.01,No,0.99,12.92,Moderate
Rain,No,6.31,19.59,No,0.97,8.98,Moderate
Clear,Yes,11.59,14.15,No,4.17,13.5,Safe
Clear,No,4.92,7.82,No,3.86,12.71,Safe
Clear,No,0.95,16.36,No,3.5,23.31,Safe
Rain,No,0.86,5.8,No,5.16,20.24,Moderate
Rain,Yes,4.96,0.36,No,3.55,15.1,High
Rain,No,2.34,19.11,No,2.33,24.77,Moderate
Rain,No,0.77,15.59,Yes,3.44,14.31,Moderate
Clear,No,9.2,19.06,No,9.76,6.16,Safe
Clear,No,5.77,0.97,Yes,4.41,10.25,Moderate
Clear,Yes,3.83,20.93,No,4.72,13.72,Moderate
Clear,Yes,10.85,15.49,No,5.98,8.14,Safe
Clear,No,1.84,14.08,No,9.84,23.95,Safe
Storm,Yes,11.49,15.62,No,2.8,20.34,High
Clear,Yes,4.11,21.61,No,6.97,10.37,Moderate
Clear,Yes,10.72,14.67,Yes,7.3,16.82,Safe
Clear,No,7.43,14.52,No,6.27,19.43,Safe
Rain,No,10.01,24.77,No,1.34,23.83,Moderate
Rain,No,11.82,18.92,No,6.93,22.63,Moderate
Clear,Yes,3.82,11.06,Yes,1.11,15.3,Critical
Clear,No,11.55,17.68,No,6.16,20.49,Safe
Rain,No,4.98,9.73,No,7.53,16.24,Moderate
Clear,No,4.93,5.72,No,2.5,16.05,Safe
Rain,Yes,4.41,14.92,Yes,8.5,7.29,High
Rain,No,6.73,23.2,Yes,0.79,7.52,High
Clear,Yes,2.27,23.23,No,8.52,15.59,Moderate
Clear,Yes,6.87,8.55,Yes,4.87,10.38,Moderate
Storm,No,6.73,13.19,Yes,2.57,5.42,Critical
Clear,Yes,9.26,5.29,No,1.77,19.46,Safe
Clear,No,10.09,24.89,No,9.56,5.65,Safe
Rain,Yes,5.57,24.53,No,1.19,16.91,Moderate
Storm,No,3.98,16.24,Yes,2.39,15.78,Critical
Storm,Yes,3.48,20.11,No,3.8,24.38,Critical
Rain,Yes,2.74,17.88,Yes,6.39,14.68,High
Clear,Yes,1.16,14.83,No,5.68,6.27,Moderate
Clear,Yes,4.44,1.33,Yes,1.69,16.03,Critical
Rain,No,3.61,11.37,No,3.25,21.82,Moderate
Rain,Yes,11.61,16.87,No,2.77,24.94,Moderate
Clear,Yes,6.91,16.94,Yes,2.53,13.61,High
Storm,No,4.49,9.33,Yes,4.41,11.41,High
Clear,No,7.18,23.54,Yes,7.19,23.13,Safe
Clear,Yes,2.1,4.18,No,2.57,8.82,Moderate
Clear,Yes,5.61,12.51,No,3.98,17.31,Moderate
Clear,Yes,7.7,17.27,No,4.21,13.11,Moderate
Clear,No,6.12,17.43,No,9.78,5.82,Safe
Clear,Yes,5.12,16.22,No,9.57,11.95,Moderate
Clear,No,11.93,6.88,No,8.1,10.3,Safe
Rain,Yes,10.62,3.91,No,2.8,18.72,Moderate
Rain,No,7.67,15.9,Yes,1.15,23.98,High
Rain,Yes,7.05,14.98,No,3.51,10.36,Moderate
Storm,Yes,7.64,4.48,No,3.03,21.23,High
Clear,No,2.82,17.63,No,5.31,6.11,Safe
Clear,Yes,5.04,11.38,No,7.89,15.76,Moderate
Storm,No,0.95,16.69,No,8.65,6.41,High
Clear,Yes,5.97,20.93,Yes,8.53,23.68,Moderate
